ProductionID,Title,ProductionType,ReleaseDate,Genre,ProductionRating
111,Final Destination 3,226,1992-07-02,Horror|Mystery|Thriller,6.7
114,British Sounds,447,2021-04-05,Documentary,3.4
115,What A Man,439,2004-09-15,Comedy|Romance,4.9
116,Of Mice and Men,685,2004-03-21,Drama,6.8
117,Duck,You Sucker,698,2016-12-24,Action|Adventure|War|Western,7.8
118,Desire: The Vampire,662,1996-08-03,Crime|Horror|Thriller,2.5
119,Female Convict Scorpion: Jailhouse 41 ,102,1997-12-03,Crime|Drama|Thriller,9.9
120,Making the Grade,153,1996-01-12,Comedy,2.6
121,Dottie Gets Spanked,513,2009-09-17,Drama,6.0
122,Return of the Fly,746,2003-05-09,Horror|Sci-Fi,4.1
123,Life and Death of Peter Sellers,The,397,1998-11-29,Comedy|Drama,1.6
125,Soul Kitchen,650,2019-09-02,Comedy,9.5
126,Holokaustin värit,476,2000-04-10,Documentary|War,5.4
129,99 francs,178,2009-03-24,Comedy,5.7
130,Phineas and Ferb the Movie: Across the 2nd Dimension,328,2023-01-17,Adventure|Animation|Children,5.4
131,I Love Trouble,582,2024-05-26,Crime|Drama,2.8
132,Crips and Bloods: Made in America,395,1994-03-13,Documentary,4.9
134,21 Up,662,2004-07-14,Documentary,9.3
135,Rancho Notorious,249,2023-05-21,Drama|Western,1.2
136,Survivors,The,561,2001-05-24,Comedy,5.0
137,Love Simple,193,1999-05-21,Comedy|Romance,5.6
138,Dreamworlds II:,411,2008-07-05,Documentary,8.4
139,Sudden Fear,610,2015-11-08,Film-Noir|Horror|Thriller,9.9
141,Fitzwilly,61,1993-09-26,Comedy|Romance,4.1
142,Middle Men,265,2021-03-30,Comedy|Crime|Drama,8.3
143,Soldier''s Story,A,22,2010-10-05,Drama,4.5
144,Paid,211,1992-02-23,Crime|Drama|Film-Noir,4.3
145,Night of the Following Day,The,102,1991-04-26,Crime|Drama,9.5
146,Friday the 13th Part IV: The Final Chapter,356,2022-01-31,Horror,4.6
147,Best Laid Plans,782,2003-02-18,Crime|Drama,9.5
148,Order of Myths,The,5,2018-08-10,Documentary,3.5
149,Poor Boy''s Game,267,2007-01-23,Drama,3.3
150,Proxy,493,2012-07-22,Drama|Horror|Thriller,2.6
151,Black Christmas,458,2006-09-13,Horror|Mystery|Thriller,8.1
153,Repo Men,156,1996-10-07,Action|Sci-Fi|Thriller,5.0
154,Paleface,The,666,2003-04-03,Comedy|Western,7.1
155,Vinyan,48,2022-04-19,Drama|Horror|Thriller,9.2
156,Girls in Prison,741,1990-06-14,Crime|Drama|Thriller,7.0
157,Cimarron,688,2007-12-02,Drama|Western,4.5
158,Kiwi!,402,2021-11-13,Action|Animation,7.8
159,Joan of Paris,359,2022-06-15,Drama|Romance|War,5.9
160,Tremors 4: The Legend Begins,332,2016-02-05,Action|Comedy|Horror|Sci-Fi|Thriller|Western,7.2
162,The Bronze,106,2015-10-09,Comedy|Drama,6.9
164,Running on Empty,7,1992-12-26,Drama,6.4
165,Escape Artist,The,341,2011-08-18,Drama,5.0
166,Somers Town,233,2007-12-12,Drama,9.6
167,Harvest/La Cosecha,The,619,1996-07-12,Documentary,6.8
168,Time for Killing,A,782,1993-10-20,Western,1.2
169,Torrente 4: Lethal Crisis,791,1994-07-11,Action|Comedy|Crime,6.6
170,Letter,The,680,2009-08-27,Drama,8.8
171,Charge of the Light Brigade,445,2007-06-30,Action|Adventure|Romance|War,8.3
172,Car Wash,531,1995-07-30,Comedy,7.3
173,Earth to Echo,688,2001-12-27,Adventure|Children|Sci-Fi,4.1
174,Exit,158,2011-08-06,Drama|Mystery|Thriller,7.2
175,Wishmaster 2: Evil Never Dies,384,1997-09-12,Fantasy|Horror,6.8
176,My Father and the Man in Black,615,2011-01-24,Documentary,2.3
177,Look Both Ways,228,2023-02-11,Drama|Romance,9.4
178,Hollywood Complex,The,603,1996-01-22,Documentary,7.7
179,Savages,The,405,1995-08-13,Comedy|Drama,2.8
180,Formula,The,431,2018-02-24,Thriller,6.5
181,Deadly Tower,The,246,1991-11-23,Action|Drama|Thriller,7.0
182,White Material,733,2019-02-20,Drama|Mystery|Thriller|War,9.7
186,Bat People,The,751,2020-08-07,Comedy|Drama|Horror|Sci-Fi,6.6
187,Mean Machine,539,1999-11-13,Comedy|Drama,7.2
188,Amityville Horror,The,479,1990-10-05,Drama|Horror|Mystery|Thriller,7.5
189,All the Young Men,110,2024-10-15,Drama|War,2.8
190,Boy Friend,The,221,2005-09-04,Comedy|Musical|Romance,9.4
191,8:46,784,2005-01-23,Drama,7.9
193,Fright Night 2: New Blood,56,2006-10-10,Horror,7.1
194,Inseparable,153,2008-09-27,Comedy|Drama|Mystery|Thriller,1.9
195,Nevada Smith,582,2016-12-20,Western,5.3
196,Mindwarp,382,1990-07-31,Horror|Sci-Fi|Thriller,7.3
197,Caesar and Cleopatra,793,2012-02-05,Comedy|Drama|War,3.1
198,Claymation Christmas Celebration,643,1993-08-21,Animation|Children|Comedy|Musical,7.8
199,Bridesmaids,730,2010-10-17,Comedy,4.3
201,Hoffa,704,2009-05-14,Crime|Drama,6.6
202,Panic Room,509,1994-10-18,Thriller,5.5
203,Birds,The,486,2019-01-17,Horror|Thriller,2.4
205,Lord Love a Duck,159,2013-08-18,Comedy,9.1
206,Defiance,263,1998-10-22,Drama|Thriller|War,5.8
208,Stop! Or My Mom Will Shoot,627,2009-05-21,Action|Comedy,8.3
209,Don,238,2023-05-17,Action|Comedy|Crime|Drama|Musical|Thriller,4.9
210,Class Action,512,2023-05-19,Drama,4.0
211,Rundown,The,79,1998-01-28,Action|Adventure|Comedy,9.2
212,Oh,God! You Devil,587,2019-01-14,Comedy,1.3
213,Big Street,The,479,2007-05-05,Drama|Romance,2.5
214,Spy Who Came in from the Cold,The,207,1991-08-02,Drama|Thriller,7.5
215,Kidnapping,Caucasian Style,310,2006-12-17,Comedy|Romance,8.7
216,Flight,110,1996-09-09,Drama,5.0
217,Hell House,412,2000-10-01,Documentary,9.0
218,Adventures of the Wilderness Family,632,2011-08-14,Adventure|Children|Drama,7.0
220,Solo,276,1998-05-29,Action|Sci-Fi|Thriller,7.6
221,Kiki''s Delivery Service ,692,2012-06-18,Adventure|Animation|Children|Drama|Fantasy,9.7
223,Orwell Rolls in His Grave,96,2017-05-09,Documentary,9.2
224,You''ve Been Trumped,603,2007-03-11,Documentary,3.0
225,Kremlin Letter,The,304,2024-12-10,Drama|Thriller,4.4
226,Half Moon Street,127,1992-10-19,Drama|Thriller,1.2
227,Last Drop,The,39,1992-07-19,Action|Adventure|Crime|War,8.4
228,Whisky Galore,404,2024-01-27,Comedy|Crime,1.8
229,Circle of Eight,299,2025-04-07,Horror|Mystery,9.1
230,Milwaukee,Minnesota,283,1995-08-30,Drama,2.6
231,Like Father,Like Son,97,2014-06-16,Comedy,7.3
232,The Sky Dragon,447,2014-01-22,Adventure|Comedy|Crime|Mystery|Thriller,8.2
233,Evil That Men Do,The,732,2012-05-02,Action|Thriller,2.7
234,Corto Maltese: The Guilded House of Samarkand,199,2011-09-20,Adventure|Animation|Drama|Romance,4.2
235,As You Like It,114,1994-09-16,Comedy|Drama|Romance,2.2
236,Loft,218,2005-06-04,Comedy|Thriller,7.0
237,Executive Protection ,709,2006-04-21,Action|Thriller,8.7
238,Brideshead Revisited,493,2002-12-23,Drama,1.1
240,Iceman,23,1995-12-13,Action|Comedy|Sci-Fi,8.9
241,City Heat,674,2014-10-25,Action|Comedy,9.0
242,Mermaids,751,1992-01-14,Comedy|Drama|Romance,6.5
243,Mouchette,697,2018-10-17,Drama,5.8
244,Neon Bible,The,384,1995-12-13,Drama,5.0
245,Flight of the Phoenix,The,249,2006-04-10,Action|Adventure|Drama,3.1
246,Junior Bonner,725,1994-09-10,Comedy|Drama|Western,6.4
247,How 2 Build a Rapper,529,2006-11-11,Comedy,7.6
248,My Baby''s Daddy,738,2021-10-28,Comedy,1.2
249,Katyn,561,2011-01-13,Drama|War,3.0
251,Midnight Clear,187,2015-05-30,Drama,2.4
252,Cheerful Weather for the Wedding,43,2012-02-09,Comedy|Drama,3.5
253,Stromberg - Der Film,61,1992-09-14,Comedy,4.4
254,Second in Command,474,1999-11-03,Action|Thriller,4.9
255,Bones Brigade: An Autobiography,665,2023-10-08,Documentary,4.1
256,All Together,760,2020-10-12,Comedy|Drama,4.2
257,Pajama Game,The,699,2010-06-24,Comedy|Musical|Romance,8.7
258,Billy Bathgate,603,2004-10-01,Crime|Drama,4.5
259,Ghost World,388,2015-01-12,Comedy|Drama,6.5
261,The Sea Vultures,139,1990-10-11,Drama,5.9
262,All In This Tea,704,2018-01-13,Documentary,7.3
263,Broken Trail,540,1995-04-11,Action|Adventure|Crime|Drama|Western,5.2
264,Berserk: The Golden Age Arc 3 - Descent,568,2023-03-15,Action|Animation|Fantasy,5.4
265,Jesse James,513,2011-11-21,Action|Crime|Drama|Romance|Western,2.4
266,Flamingo Road,287,1996-12-26,Drama|Romance,7.1
267,Shuttle,25,2007-07-17,Crime|Drama|Horror|Thriller,8.7
268,Tinker Bell and the Lost Treasure,537,1994-09-23,Adventure|Animation|Children|Fantasy,1.8
269,True Grit,258,2010-06-13,Adventure|Drama|Western,6.1
272,Adventures of Pinocchio,The,28,2014-06-13,Adventure|Children,6.1
273,Desert of Forbidden Art,The,614,1997-09-16,Adventure|Documentary|Drama|War,3.7
274,Thesis on a Homicide,664,2011-01-22,Crime|Mystery|Thriller,2.4
275,Smokin'' Aces,67,2019-10-20,Action|Crime|Drama|Thriller,7.6
276,For Ever Mozart,628,2023-03-25,Drama,5.1
278,Old Lady Who Walked in the Sea,247,1997-01-19,Comedy,5.6
280,Flaming Creatures,465,2007-11-15,Drama,4.5
282,B*A*P*S,763,2017-09-27,Comedy,3.0
283,My Girl,665,2010-07-26,Comedy|Drama|Romance,3.1
284,Happy Tears,687,2012-08-03,Comedy|Drama,5.4
285,Patton Oswalt: Werewolves and Lollipops,63,2013-11-23,Comedy,7.8
287,Seeker: The Dark Is Rising,730,2001-04-03,Action|Adventure|Drama|Fantasy,5.5
288,Black Nativity,689,2017-02-25,Drama|Musical,9.5
289,Magnificent Obsession,467,2016-07-26,Drama|Romance,8.6
291,Boys,Les,366,2009-08-12,Comedy,2.1
292,Thank You a Lot,180,2002-10-01,Drama,6.2
294,Forest Warrior,238,2014-10-03,Action|Adventure|Comedy|Western,5.2
297,Inside Llewyn Davis,670,2000-01-09,Drama,9.8
298,Radio Free Albemuth,404,2014-10-15,Drama|Sci-Fi,2.9
299,Adventures of Mary-Kate and Ashley,175,1996-08-31,Children|Musical|Mystery,2.4
300,Murder at the Gallop,28,2016-10-20,Comedy|Crime|Drama|Mystery|Thriller,8.2
301,Cockpit,777,1995-06-06,Comedy,10.0
302,Hunter,The,340,2015-02-25,Drama,4.7
304,Prince of the City,374,2011-03-04,Drama,9.8
305,Torrente 5: Operación Eurovegas,273,1994-08-21,Action|Comedy,5.4
306,My Führer,44,1997-02-22,Comedy|Drama|War,8.0
308,Prince of Persia: The Sands of Time,151,2002-09-24,Action|Adventure|Fantasy|Romance,5.4
309,Hero at Large,640,2006-01-12,Comedy,1.2
310,No Man''s Land,204,2018-12-28,Drama|War,7.0
311,Back to the Garden,Flower Power Comes Full Circle,679,2018-11-15,Documentary,5.8
312,Littlerock,190,2021-01-07,Drama,2.0
314,Wrong Arm of the Law,The,545,2024-11-23,Comedy|Crime,8.3
316,Hair,763,1995-12-07,Comedy|Drama|Musical,8.1
317,Dracula: Pages from a Virgin''s Diary,130,1997-04-28,Horror|Mystery,1.9
318,2:13,180,2006-04-12,Horror|Thriller,6.8
319,Not Quite Hollywood,415,2022-01-19,Documentary,9.1
320,Iron Man: Rise Of Technovore,391,2023-07-16,Animation,9.3
321,Klute,127,2001-09-08,Drama|Mystery,2.9
322,Operation Daybreak,431,2003-04-08,War,5.2
323,Across the Hall,532,2014-05-11,Thriller,9.6
324,Come Dance with Me!,645,2022-09-24,Crime|Drama|Mystery,9.8
325,Mr. Baseball,743,2000-12-19,Comedy|Romance,5.1
326,Comancheros,The,576,2019-03-31,Action|Adventure|Drama|Romance,3.4
329,Zu: Warriors from the Magic Mountain ,629,1998-01-07,Action|Adventure|Fantasy|Horror,1.4
330,Glass Slipper,The,766,2000-01-23,Musical|Romance,4.2
331,Blood & Donuts,538,2006-01-23,Comedy|Horror,1.9
332,Shaggy Dog,The,207,2008-08-18,Adventure|Children|Comedy|Fantasy,6.2
333,Decade Under the Influence,A,199,2013-08-17,Documentary,3.3
334,Sound of the Mountain ,203,2000-02-28,Drama,4.9
335,Bitch Slap,250,2003-12-05,Action|Comedy|Crime|Thriller,2.8
336,Ricky Gervais: Out of England - The Stand-Up Special,235,2011-09-28,Comedy,2.3
337,Marmaduke,687,1995-06-09,Comedy,8.2
340,Tortured,462,2014-05-03,Crime|Thriller,3.2
341,Amityville II: The Possession,225,1993-07-21,Horror,2.6
342,Blue Lagoon,The,359,1996-01-20,Adventure|Drama|Romance,6.1
343,Herman''s House,391,1991-03-09,Crime|Documentary,1.8
344,North Country,657,1996-05-24,Drama,8.9
346,This Girl''s Life,505,1991-02-23,Drama,2.4
347,Texas Chainsaw Massacre,The,214,2005-09-20,Horror,1.6
348,Lucky Star,603,1996-02-01,Drama|Romance,5.2
349,Blood Out,750,2016-03-07,Action,3.4
350,Beethoven''s 3rd,87,2009-06-21,Children|Comedy,8.1
351,Frequency,737,2019-09-26,Drama|Thriller,6.8
352,Crackerjack,591,2014-06-18,Action,1.4
353,A One-Way Trip to Antibes,784,2008-05-14,Drama,2.6
355,Dangerous Ground,451,2024-06-23,Drama,3.2
356,The Last Shark,596,2015-04-04,Adventure|Horror|Thriller,7.7
357,Of Unknown Origin,624,2004-08-23,Horror,3.5
358,Looker,692,2008-07-27,Drama|Horror|Sci-Fi|Thriller,9.7
359,No One Lives,307,2018-02-14,Horror|Thriller,1.9
360,World''s Greatest Athlete,The,204,1999-09-20,Comedy|Romance,3.3
361,Disco Godfather,219,2022-06-25,Action|Crime|Drama,4.7
362,House of Wax,452,1997-10-24,Horror|Thriller,9.7
363,Topper Takes a Trip,771,2016-06-25,Comedy|Fantasy|Romance,7.9
364,Ninotchka,532,1998-10-02,Comedy|Romance,9.0
365,Yearling,The,499,1994-04-22,Children|Drama,2.5
366,Takers,637,2025-03-20,Action|Crime|Thriller,1.6
367,Waterdance,The,27,2005-10-03,Drama,5.3
368,Berlin Alexanderplatz,83,2002-02-23,Drama,4.0
369,Demetrius and the Gladiators,174,2011-09-29,Drama,9.9
370,Benji the Hunted,624,2021-11-02,Adventure|Children,5.9
372,Everybody Dies But Me,476,2000-03-20,Drama,1.3
373,Captain Phillips,225,2020-07-16,Adventure|Drama|Thriller|IMAX,5.9
374,Hamiltons,The,17,1991-09-30,Drama|Horror|Thriller,4.6
376,Bart Got a Room,426,2003-03-13,Comedy|Romance,9.7
377,Illusion Of Blood,562,2010-07-25,Fantasy|Horror,8.7
379,Officer and a Gentleman,An,603,1995-12-23,Drama|Romance,6.5
380,Emperor,520,2021-01-25,Drama|War,6.8
381,Human Desire,32,2000-08-16,Drama|Film-Noir,4.1
382,Fantasma,142,2015-11-25,Drama,2.0
383,Adventures of Arsène Lupin,,660,2015-09-01,Crime|Mystery,2.3
385,Dark Tide,121,2002-02-23,Adventure|Drama|Thriller,7.4
386,Panic Button,521,2013-05-02,Horror|Thriller,6.5
388,Ali Baba Goes to Town,512,2015-03-13,Comedy|Fantasy|Musical,7.7
389,Iran Is Not the Problem,307,1998-10-07,Documentary,2.5
392,Rosetta,737,1990-12-22,Drama,7.8
393,He Got Game,423,2011-04-12,Drama,1.0
394,Royal Wedding,757,2000-05-09,Comedy|Musical|Romance,1.2
395,Cranford,66,2013-07-23,Drama,9.9
396,Bank Dick,The,333,1992-11-27,Comedy,2.3
397,Sam''s Song,351,2024-06-08,Drama,5.5
398,Pepi,Luci,Bom ,197,2007-02-01,Comedy,6.4
399,Dead End,695,2010-09-21,Crime|Drama,4.5
400,Dark City,283,2014-02-21,Crime|Drama|Film-Noir|Mystery,8.5
401,George Lopez: Tall,Dark & Chicano,369,2018-02-06,Comedy,5.6
402,It''s a Wonderful Afterlife,300,2018-08-31,Comedy|Drama|Horror|Romance,2.9
403,Lorna,464,2002-09-18,Drama,7.6
404,I Walk the Line,663,2010-02-23,Drama,1.7
405,Radioland Murders,597,2021-11-15,Comedy|Mystery|Romance,5.4
406,Hideaway,215,2017-04-24,Drama,2.2
409,Letting Go of God,768,2006-01-04,Comedy|Documentary,7.2
410,Two Night Stand,322,2007-06-24,Comedy|Romance,9.4
411,Marjoe,455,2009-05-20,Documentary,4.6
412,Fool There Was,A,755,2000-12-23,Drama,6.9
414,Life Apart: Hasidism in America,A,184,2002-06-24,Documentary,2.3
415,Danny Deckchair,354,2016-08-12,Comedy|Romance,4.0
416,One,Two,Three,129,1990-09-03,Comedy,2.9
417,Repossessed,670,1995-09-22,Comedy,5.2
418,Child''s Play 3,505,2015-07-04,Comedy|Horror|Thriller,6.6
419,Shepherd: Border Patrol,The,268,2003-02-07,Action|Crime|Thriller,9.9
420,Bound by Honor ,176,1995-09-18,Action|Crime|Drama|Thriller,4.3
421,Les modèles de ''Pickpocket,342,2006-12-09,Documentary,8.5
422,Violette,163,2021-04-09,Drama,7.7
423,12 Dogs of Christmas,The,486,2006-11-19,Children,6.8
424,My Baby''s Daddy,103,2025-02-26,Comedy,2.7
426,Killing Floor,The,460,2005-09-27,Crime|Horror|Mystery,3.5
427,More the Merrier,The,284,2004-02-27,Comedy|Romance,3.8
428,God''s Country,64,1990-07-14,Documentary,5.2
429,Taking of Pelham 1 2 3,The,258,2021-08-20,Crime|Drama|Thriller,4.8
430,Hot Chick,The,88,2000-12-28,Comedy,8.0
431,Kiki,406,1993-05-24,Musical,7.0
432,Shawshank Redemption,The,363,1990-10-12,Crime|Drama,1.9
433,Paragraph 175,725,2014-01-25,Documentary,2.8
434,Phantom of the Megaplex,688,1995-04-13,Action|Children|Comedy|Mystery,8.7
435,Sasquatch: The Legend of Bigfoot,244,2009-11-04,Adventure|Mystery,5.3
436,12 Angry Men,522,2009-11-20,Crime|Drama,5.9
438,Kung Pow: Enter the Fist,513,1998-07-05,Action|Comedy,3.4
439,Creator,107,2022-12-28,Comedy|Drama|Romance,5.7
440,Miss Bala,339,1998-09-26,Action|Adventure|Drama|Thriller,9.9
441,Hello Ladies: The Movie,579,2019-10-18,Comedy,5.6
444,The Princess Comes Across,131,1997-12-16,Comedy|Mystery|Romance|Thriller,6.2
445,3:10 to Yuma,156,2022-03-29,Action|Crime|Drama|Western,2.4
446,Ipcress File,The,509,2020-11-09,Thriller,4.0
447,Cecil B. DeMented,402,2020-11-06,Comedy,3.2
448,Superweib,Das,796,2009-08-20,Comedy,5.6
449,Szamanka,507,2010-08-22,Drama|Horror|Mystery,4.3
450,Buster,4,2018-05-17,Comedy|Crime,3.9
451,Carry on Screaming!,573,2003-02-12,Comedy|Horror,1.5
452,Cremaster 2,122,2014-12-08,Drama,7.7
453,This Is England,52,2007-12-15,Drama,5.1
454,Animated Motion: Part 5,257,2013-02-03,Animation|Documentary,5.6
455,Black Butterflies,144,2021-08-09,Drama,3.9
456,Nomads,769,2021-07-17,Horror|Mystery|Thriller,2.7
457,Street with No Name,The,526,2012-12-13,Crime|Drama|Film-Noir|Thriller,1.4
458,Trouble in Mind,206,2020-09-28,Crime|Drama,4.7
459,Forsyte Saga,The,709,2007-12-01,Drama,7.7
460,Belle comme la femme d''un autre,573,1999-03-25,Comedy,5.1
461,Jerry Maguire,126,2003-01-10,Drama|Romance,9.5
462,Long Hello and Short Goodbye,633,2023-03-23,Comedy|Thriller,5.4
463,In Which We Serve,640,2017-01-21,Drama|War,2.0
464,Savages,The,788,2001-01-14,Comedy|Drama,3.8
465,13 Tzameti,430,2012-08-23,Film-Noir|Thriller,4.5
467,In Love and War,125,2003-08-08,Romance|War,4.6
468,Monsieur Verdoux,70,1993-07-10,Comedy|Crime,8.5
469,Electrick Children,212,2007-09-09,Drama,1.4
471,Jennifer''s Body,259,1994-03-22,Comedy|Horror|Sci-Fi|Thriller,9.5
472,Toi et Moi,603,1995-12-04,Comedy|Drama|Romance,2.9
473,Munger Road,693,2011-06-14,Horror|Mystery|Thriller,1.1
474,Little Shop of Horrors,The,359,1991-10-24,Comedy|Horror,5.5
475,In This World,489,2015-07-06,Adventure|Drama,9.8
476,Win Win,88,1993-07-08,Comedy|Drama,7.3
477,Private School,465,2014-08-09,Comedy,3.8
479,Atomic Cafe,The,358,2010-11-24,Documentary|War,2.4
480,World According to Dick Cheney,The ,730,2018-05-12,Documentary,1.2
481,Haunted World of Edward D. Wood Jr.,The,744,2001-02-21,Documentary,6.0
482,Grand Theft Parsons,28,2021-08-03,Comedy|Drama,5.9
484,The Wayward Girl,26,2009-07-20,Drama,9.6
485,41,654,1999-12-03,Documentary,6.2
487,October Baby,508,2004-02-02,Drama,6.2
488,Black Cat,The,182,1999-12-09,Adventure|Crime|Horror|Thriller,8.5
489,Edward II,137,2009-10-14,Drama,7.7
490,Killers,The,227,1990-06-21,Action|Crime|Drama|Film-Noir|Thriller,7.2
491,Sword in the Stone,The,302,2015-04-01,Animation|Children|Fantasy|Musical,9.3
492,Vamp,526,2012-05-03,Comedy|Horror,3.6
493,Consenting Adults,65,2002-03-07,Thriller,7.1
495,Life of Reilly,The,652,2023-12-25,Comedy,10.0
496,Raincoat,385,2008-08-01,Drama|Romance,3.7
498,Metropia,166,2012-05-19,Animation|Sci-Fi,8.6
