AwardID,CreatorID,AwardName,AwardYear
50490,363191482,Creative Impact Award,2009-06-02
80282,211633099,Independent Spirit Award,2020-12-05
51325,289984835,Cannes Palme d’Or,2018-07-11
46523,273364028,Emmy Award,1998-11-03
42885,244433658,MTV Movie & TV Award,2007-05-26
94961,270125328,New Media Film Festival Award,2003-11-03
90470,213112498,Cannes Palme d’Or,1999-03-25
34707,383964783,MTV Movie & TV Award,2016-08-17
95772,247055591,Golden Globe Award,2015-01-26
93198,355431846,New Media Film Festival Award,2018-09-30
14833,360741338,Cannes Palme d’Or,2010-02-01
37789,328491055,Cannes Palme d’Or,2015-01-30
58677,322308286,Creative Impact Award,1997-04-13
51310,210183990,Sundance Grand Jury Prize,1998-12-03
64486,386769973,Critics’ Choice Award,1999-04-01
93755,364225025,New Media Film Festival Award,2010-01-03
97193,233928126,BAFTA Award,2010-06-14
40043,373131136,BAFTA Award,2015-05-27
36136,250201510,Golden Frame Award,2005-11-24
45399,245367763,Cannes Palme d’Or,2022-02-24
94182,293643869,Creative Impact Award,2007-11-25
91217,258724762,Sundance Grand Jury Prize,2000-10-13
87102,233286953,Creative Impact Award,1999-06-28
15591,207364382,Golden Globe Award,2011-01-22
96671,359139360,The Narrative Distinction Medal,2008-03-29
76190,249049085,Golden Frame Award,2008-05-29
34151,369733321,Golden Frame Award,2003-05-19
54475,354882679,Independent Spirit Award,2000-06-14
94220,363620722,Golden Frame Award,2013-03-15
91414,213145419,Cannes Palme d’Or,2022-10-08
49805,392777712,Golden Frame Award,2006-09-07
88016,351339764,The Platinum Scene Award,2003-07-22
46911,208838192,New Media Film Festival Award,2012-08-13
11953,287995004,Independent Spirit Award,1998-06-25
66970,345953826,Cannes Palme d’Or,2016-10-30
85401,343835207,The Platinum Scene Award,2021-04-18
53051,256352508,Emmy Award,2006-11-07
42058,394254803,Hollywood Film Award,2004-06-30
95820,275475465,Hollywood Film Award,2014-07-08
78130,353620059,Golden Frame Award,2021-07-07
90443,386794876,New Media Film Festival Award,2004-06-03
47879,392103539,Golden Globe Award,2000-08-14
31707,395255448,Critics’ Choice Award,2000-10-09
56321,383964783,Sundance Grand Jury Prize,2024-06-19
47922,239530457,The Narrative Distinction Medal,2023-12-04
70185,360318139,BAFTA Award,2023-06-27
88277,393584508,Golden Globe Award,1998-06-25
66759,397076272,New Media Film Festival Award,2010-04-26
83373,337404588,Emmy Award,2003-09-06
66774,365001721,Creative Impact Award,2014-12-08
37857,268590989,MTV Movie & TV Award,2010-01-24
97467,267634575,MTV Movie & TV Award,2013-08-29
17915,372612466,BAFTA Award,2008-09-03
70566,244077286,The Narrative Distinction Medal,1998-11-23
18859,305581739,New Media Film Festival Award,2005-02-19
63912,263193624,New Media Film Festival Award,2009-04-27
20412,239530457,The Platinum Scene Award,2002-07-01
32986,255055307,Golden Frame Award,1998-04-21
93316,303476198,Emmy Award,2024-07-11
59780,221324946,Creative Impact Award,2002-09-14
30750,203065435,The Platinum Scene Award,2024-01-04
13078,329457273,The Narrative Distinction Medal,2011-08-14
39690,342149672,Sundance Grand Jury Prize,2024-05-07
55736,204042582,BAFTA Award,2010-11-19
66477,369917348,Hollywood Film Award,2020-11-30
66350,239355065,Hollywood Film Award,2016-07-12
99753,232955031,Sundance Grand Jury Prize,2007-04-07
50514,336495706,Hollywood Film Award,2013-12-02
36444,309648576,Hollywood Film Award,2021-12-01
53440,277816384,The Platinum Scene Award,2010-01-25
82552,207009136,BAFTA Award,2011-10-11
17511,355920550,Cannes Palme d’Or,2016-10-22
15464,364105616,Golden Globe Award,2007-12-01
35366,363818835,BAFTA Award,2009-01-11
73182,357834999,Cannes Palme d’Or,2004-09-14
63508,202893013,Hollywood Film Award,2020-05-24
92381,301340717,The Narrative Distinction Medal,2003-11-08
84740,208440460,Golden Frame Award,2009-12-17
46721,283469543,BAFTA Award,2010-04-24
17618,341377261,Independent Spirit Award,2009-08-01
18444,345526244,The Platinum Scene Award,2002-11-30
76159,203047531,Cannes Palme d’Or,2015-09-01
14191,303034738,Sundance Grand Jury Prize,2001-05-06
54181,369917348,Sundance Grand Jury Prize,2010-11-04
18285,384217235,New Media Film Festival Award,2011-12-30
85387,321088835,New Media Film Festival Award,2009-09-22
49537,303586518,Golden Frame Award,2010-04-26
31102,289910760,BAFTA Award,2002-08-29
52312,354314822,Golden Globe Award,2021-05-28
24091,202381730,Golden Frame Award,1998-03-21
62590,305051864,Independent Spirit Award,1997-02-18
23705,252989794,Creative Impact Award,2023-03-25
78618,331891478,Golden Globe Award,2003-01-31
91099,288549523,Golden Globe Award,2014-08-14
77049,344404659,Creative Impact Award,2012-10-19
97971,275593117,Golden Globe Award,2019-05-23
17145,271582322,Hollywood Film Award,2000-03-31
39667,268943548,Hollywood Film Award,2006-02-22
62834,205394944,Creative Impact Award,2020-11-25
68953,228538339,Independent Spirit Award,2010-07-11
69728,354196232,BAFTA Award,2024-11-30
92893,356315828,Emmy Award,2018-05-11
68420,244057437,Golden Globe Award,1997-02-28
49641,240780076,MTV Movie & TV Award,2011-07-27
51099,360957857,Golden Frame Award,2003-02-05
29531,214358056,Hollywood Film Award,2019-09-22
20768,347481096,Emmy Award,2022-10-03
35938,328783579,Critics’ Choice Award,2022-11-08
75534,225948461,Independent Spirit Award,2003-04-12
82081,306025139,Creative Impact Award,2021-11-17
95269,250127806,The Narrative Distinction Medal,2006-10-25
36197,344404659,MTV Movie & TV Award,2002-02-14
82720,243794872,Golden Frame Award,1997-02-20
34973,394254803,Golden Frame Award,2017-06-10
65321,268943548,BAFTA Award,2008-08-13
11107,376973261,Sundance Grand Jury Prize,2006-01-09
76919,382157485,The Narrative Distinction Medal,2011-07-13
51763,229914206,New Media Film Festival Award,2009-02-12
49263,313595996,BAFTA Award,2012-06-29
94474,212054743,Emmy Award,2004-11-04
67925,330512077,Emmy Award,2006-03-07
87485,241205631,Independent Spirit Award,2014-10-27
28082,269487475,Critics’ Choice Award,2012-03-13
27857,287658167,MTV Movie & TV Award,2024-11-16
89877,253157516,BAFTA Award,2023-08-07
53441,364829160,Emmy Award,2025-01-31
81505,216525919,New Media Film Festival Award,2000-06-25
12840,264464851,BAFTA Award,2022-10-09
36925,360289544,Independent Spirit Award,2017-09-02
79267,341342626,Independent Spirit Award,2017-08-27
62459,300216978,The Narrative Distinction Medal,2014-08-15
55239,283469543,Golden Frame Award,2012-06-08
85886,266991791,Hollywood Film Award,2005-10-10
43546,292461119,Creative Impact Award,2012-08-27
29471,246337437,The Platinum Scene Award,1999-01-07
63980,385479394,New Media Film Festival Award,2002-12-30
18732,346843697,Creative Impact Award,2023-02-12
95985,376620202,Golden Globe Award,2014-04-11
18801,334987232,Cannes Palme d’Or,1999-03-17
73157,393449708,Cannes Palme d’Or,2007-09-23
86721,228499975,Hollywood Film Award,2017-10-09
29846,276680412,Golden Globe Award,2010-10-13
13182,295826935,Hollywood Film Award,2011-03-12
51121,300047029,Creative Impact Award,1998-07-17
14844,360288138,MTV Movie & TV Award,2002-02-11
77734,205798921,BAFTA Award,2001-01-05
94157,305051864,Critics’ Choice Award,2019-02-07
76064,343135245,Golden Globe Award,2008-09-21
76625,238058211,Emmy Award,2020-09-06
26588,372353849,Emmy Award,2009-07-26
38171,214358056,Emmy Award,2022-02-06
26548,380956412,Golden Globe Award,2005-04-27
30284,306179207,MTV Movie & TV Award,2002-03-31
99999,207372848,Sundance Grand Jury Prize,2023-12-29
63628,253978426,Golden Frame Award,1998-06-05
70678,270491085,Critics’ Choice Award,2001-09-07
56838,361692560,Creative Impact Award,2004-12-22
13892,369414484,Sundance Grand Jury Prize,2017-12-10
66010,373027829,Creative Impact Award,2008-04-03
17294,347150503,Critics’ Choice Award,2008-03-11
61280,340779713,BAFTA Award,2023-03-04
65918,300047029,Golden Frame Award,2010-02-12
18281,304725297,Sundance Grand Jury Prize,1999-05-12
68299,384217235,MTV Movie & TV Award,2021-09-11
83637,326504868,Critics’ Choice Award,2001-07-11
99282,231915236,Emmy Award,2015-03-27
54350,288768970,BAFTA Award,2012-12-14
59580,372353849,MTV Movie & TV Award,2018-12-17
18814,318082956,New Media Film Festival Award,2021-08-24
24344,325797024,Golden Globe Award,2018-04-21
60789,248652410,BAFTA Award,2003-01-23
24333,341677911,Sundance Grand Jury Prize,2023-08-03
15013,291605679,Cannes Palme d’Or,2003-08-21
39936,306025139,New Media Film Festival Award,2021-01-09
84872,376753347,The Narrative Distinction Medal,2007-06-20
14779,335605332,The Platinum Scene Award,2010-12-05
44484,214358056,Cannes Palme d’Or,2024-06-22
47627,204204256,The Narrative Distinction Medal,2002-01-20
87820,362776671,Independent Spirit Award,2000-12-06
74353,274562659,MTV Movie & TV Award,2012-08-21
29349,221242306,The Platinum Scene Award,1997-02-19
72108,336183310,The Platinum Scene Award,2008-09-25
25618,362539177,Creative Impact Award,2024-07-18
18607,296636466,BAFTA Award,1999-06-26
20367,305051864,Emmy Award,2000-01-20
10674,205509918,Golden Globe Award,2018-03-11
58200,355837216,Sundance Grand Jury Prize,2000-07-20
59610,349448371,The Narrative Distinction Medal,2022-11-22
16860,316813081,Critics’ Choice Award,2025-03-10
67276,214055519,MTV Movie & TV Award,2014-05-03
34733,259080374,Independent Spirit Award,2010-12-23
31421,233286953,Sundance Grand Jury Prize,2000-01-09
34209,300047029,Independent Spirit Award,1999-09-07
74047,341395460,The Platinum Scene Award,2006-11-04
76079,324175065,MTV Movie & TV Award,2016-01-19
79729,315709918,Emmy Award,2010-12-05
43188,207473008,Sundance Grand Jury Prize,2005-01-04
22248,229405969,New Media Film Festival Award,2021-02-28
87681,328339007,New Media Film Festival Award,2000-05-28
63244,260737024,Creative Impact Award,2008-07-17
42655,208563698,Emmy Award,2015-02-15
34179,202893013,New Media Film Festival Award,2000-06-27
50534,318082956,Independent Spirit Award,2022-04-23
32154,246699000,Golden Frame Award,2021-03-15
64314,204042582,BAFTA Award,2013-09-19
79191,231915236,Emmy Award,2005-11-05
38968,255055307,Golden Globe Award,2014-05-04
14326,231535003,Cannes Palme d’Or,2023-05-23
80594,294598530,Independent Spirit Award,2021-09-10
78721,328783579,The Platinum Scene Award,2004-04-22
40821,337404588,Sundance Grand Jury Prize,1998-03-04
37937,248610562,Hollywood Film Award,2021-03-30
56113,354314822,Independent Spirit Award,2010-01-01
26184,282079640,The Narrative Distinction Medal,2000-11-03
41792,212668880,New Media Film Festival Award,2022-03-30
63832,283138764,Creative Impact Award,2000-10-28
12379,214741972,Cannes Palme d’Or,2022-07-08
75346,237305306,Sundance Grand Jury Prize,2019-08-01
61058,270491085,Golden Frame Award,2023-06-07
79386,252989794,Hollywood Film Award,2015-03-20
94523,377263712,The Platinum Scene Award,2006-07-08
38694,366577676,Cannes Palme d’Or,2010-07-23
28818,252352825,Critics’ Choice Award,2021-02-20
67817,334891775,The Narrative Distinction Medal,2018-08-05
96819,396826876,Independent Spirit Award,2004-07-24
26840,266444021,Sundance Grand Jury Prize,2009-02-21
25333,379908862,Emmy Award,2008-09-30
99745,329055966,MTV Movie & TV Award,2000-09-18
91594,389949359,The Narrative Distinction Medal,2014-12-04
54969,255105399,Independent Spirit Award,2004-09-29
40718,282079640,Critics’ Choice Award,2007-11-10
59419,301583259,Golden Frame Award,2024-06-20
71743,331891478,Emmy Award,2008-09-23
12499,221218009,Hollywood Film Award,2011-12-11
16035,306751566,The Narrative Distinction Medal,2018-11-21
50873,284447754,Sundance Grand Jury Prize,2009-04-09
21729,283138764,Independent Spirit Award,2015-07-13
91157,304183974,Critics’ Choice Award,2012-09-15
78588,333781587,Golden Globe Award,2011-03-24
81628,260450127,New Media Film Festival Award,1999-01-23
52996,363640250,The Platinum Scene Award,2013-12-11
62719,263615170,Emmy Award,2009-06-04
55883,230985062,Creative Impact Award,2002-01-20
14234,378512141,Independent Spirit Award,2000-06-25
51230,391324297,Sundance Grand Jury Prize,2009-08-28
65422,366577676,Cannes Palme d’Or,2008-07-01
45760,290271007,Golden Globe Award,2010-07-24
90208,338953999,Cannes Palme d’Or,2024-07-26
41603,255033951,Golden Globe Award,2023-09-20
96122,365001721,Golden Frame Award,2014-02-25
38356,213493713,Critics’ Choice Award,2015-02-03
95598,272793012,Creative Impact Award,2019-12-05
49412,224057091,Golden Frame Award,2014-12-06
30644,322991071,The Narrative Distinction Medal,2000-01-07
26204,309607913,The Narrative Distinction Medal,2004-09-27
47458,300216978,Emmy Award,2019-08-29
83227,205798921,Sundance Grand Jury Prize,2018-02-11
29269,374726448,Emmy Award,2001-08-15
81433,201835861,MTV Movie & TV Award,2006-08-06
87978,390166975,Critics’ Choice Award,2018-03-08
38810,361775565,Sundance Grand Jury Prize,2014-06-09
39423,366577676,Critics’ Choice Award,2003-01-22
36215,249012540,Sundance Grand Jury Prize,2017-05-13
62945,374539961,Emmy Award,2016-04-01
92644,226819884,BAFTA Award,2010-05-16
15607,287838903,The Narrative Distinction Medal,2004-11-03
14097,242203591,Independent Spirit Award,2017-03-15
49346,210883645,Golden Frame Award,2024-05-19
22047,294598530,Golden Globe Award,2012-08-20
69562,287658167,MTV Movie & TV Award,2019-11-20
30134,251581597,New Media Film Festival Award,2011-03-26
12893,290025594,Sundance Grand Jury Prize,2014-04-23
42375,209809550,MTV Movie & TV Award,2012-12-16
72946,338112683,BAFTA Award,2010-06-19
46837,275029360,Hollywood Film Award,2025-04-16
16008,382157485,Critics’ Choice Award,2024-08-15
62093,309648576,Sundance Grand Jury Prize,2020-06-09
62272,346213514,The Platinum Scene Award,2024-08-18
15450,374539961,Critics’ Choice Award,2003-10-11
92797,369414484,New Media Film Festival Award,2012-03-11
25325,287995004,Independent Spirit Award,1998-12-16
69705,251581597,The Platinum Scene Award,2022-08-13
70119,272887052,Independent Spirit Award,2001-04-04
72283,394521727,Hollywood Film Award,2017-01-26
42871,206744883,Cannes Palme d’Or,2002-04-30
11765,271582322,Critics’ Choice Award,2019-01-24
98443,240548219,Sundance Grand Jury Prize,2011-09-24
18192,306025139,BAFTA Award,2001-07-17
72831,338338714,BAFTA Award,1999-05-29
80543,370483418,Golden Frame Award,2006-09-06
25182,308239093,Cannes Palme d’Or,2020-04-15
59967,303034738,Creative Impact Award,2001-06-21
51810,334462705,MTV Movie & TV Award,2012-10-30
97722,289309435,Golden Frame Award,2000-10-02
11044,268590989,Sundance Grand Jury Prize,2024-04-13
41856,238792052,Creative Impact Award,2015-12-24
71548,250500355,New Media Film Festival Award,2005-12-26
42298,293560763,New Media Film Festival Award,1997-02-13
52364,207009136,The Narrative Distinction Medal,2017-01-05
66678,274260761,Creative Impact Award,2001-12-17
95756,250319406,Sundance Grand Jury Prize,2004-12-23
78805,360288138,New Media Film Festival Award,2005-04-01
33534,322308286,Independent Spirit Award,2019-01-27
68582,250319406,New Media Film Festival Award,2013-01-12
12926,324987387,Golden Globe Award,2007-10-10
79063,205509918,Golden Frame Award,2004-02-23
79140,337722385,Cannes Palme d’Or,2008-01-12
65873,217513928,BAFTA Award,2018-03-01
51030,304725297,New Media Film Festival Award,2004-01-30
65386,234881130,MTV Movie & TV Award,2019-05-19
25162,354314822,Independent Spirit Award,2001-12-29
49627,348904436,New Media Film Festival Award,2023-04-06
57429,256087251,The Platinum Scene Award,1997-08-09
78860,213921862,The Narrative Distinction Medal,2006-07-27
96231,300475641,MTV Movie & TV Award,2010-11-02
82521,280642654,Golden Frame Award,2021-03-12
71290,391976998,New Media Film Festival Award,2011-05-20
72254,240682184,Golden Globe Award,2001-01-31
86590,328339007,Golden Globe Award,2008-09-04
74897,243794872,Golden Globe Award,2002-08-02
40057,259371566,Creative Impact Award,2013-04-21
32754,264778400,Golden Globe Award,2019-03-01
46633,230985062,Emmy Award,2016-12-05
66196,224804060,Golden Globe Award,2012-02-03
11188,305687332,The Narrative Distinction Medal,2003-09-20
20955,357834999,Critics’ Choice Award,2009-11-06
13376,263338655,New Media Film Festival Award,2016-05-31
21383,208440460,Sundance Grand Jury Prize,2024-02-09
83154,366577676,Hollywood Film Award,2023-04-01
58544,388043099,Critics’ Choice Award,2000-06-10
96498,209185487,Golden Globe Award,2017-09-05
64867,354882679,New Media Film Festival Award,2005-12-13
14754,322991071,Cannes Palme d’Or,2022-09-06
37291,287943854,Creative Impact Award,2018-06-13
55122,354272401,BAFTA Award,2017-11-01
96693,333594655,The Platinum Scene Award,2000-08-13
90132,285639417,BAFTA Award,2006-03-17
40724,260450127,BAFTA Award,2012-06-17
68174,224965277,Golden Globe Award,2019-08-30
97256,224906349,Independent Spirit Award,2000-08-17
79068,334891775,The Platinum Scene Award,2002-06-16
74695,362776671,Golden Globe Award,2018-04-13
99129,232739392,New Media Film Festival Award,2011-12-26
60584,368968896,Golden Frame Award,2021-07-24
36201,306025139,Emmy Award,2015-12-06
17298,220660974,Sundance Grand Jury Prize,2001-06-30
41022,221324946,MTV Movie & TV Award,2020-09-23
11301,259954688,MTV Movie & TV Award,1997-11-29
84330,306025139,BAFTA Award,2012-11-10
51174,255383870,MTV Movie & TV Award,2019-05-23
38360,232538187,BAFTA Award,2018-11-17
34814,284316004,Emmy Award,2018-11-02
76692,350489477,Cannes Palme d’Or,1997-03-04
38540,382657341,Critics’ Choice Award,2005-09-04
70683,361553907,The Narrative Distinction Medal,2004-05-04
16655,324914591,Golden Globe Award,1998-01-20
25997,277892380,Cannes Palme d’Or,2019-08-17
47525,332379006,BAFTA Award,2004-09-19
67138,355431846,Independent Spirit Award,2019-01-13
79004,231535003,New Media Film Festival Award,2013-03-28
34625,202893013,Creative Impact Award,2011-10-31
41253,205394944,MTV Movie & TV Award,2023-04-15
66104,316711946,New Media Film Festival Award,2024-01-14
42035,247055591,MTV Movie & TV Award,1998-10-07
42698,264464851,The Narrative Distinction Medal,2010-10-20
13648,334987232,MTV Movie & TV Award,1997-03-17
39177,201389123,Cannes Palme d’Or,2004-09-22
61842,300344791,Cannes Palme d’Or,2017-04-26
34394,211633099,Golden Globe Award,1997-07-24
41651,397741121,New Media Film Festival Award,2004-11-14
65149,342835433,Critics’ Choice Award,2019-06-20
79630,306751566,The Narrative Distinction Medal,2018-10-18
64993,364382751,Independent Spirit Award,2019-01-11
59723,389770951,Cannes Palme d’Or,1999-08-29
22840,263026972,The Platinum Scene Award,2023-08-09
40102,325348409,Golden Globe Award,2022-07-26
30098,237305306,Critics’ Choice Award,2003-02-07
49049,315286580,Sundance Grand Jury Prize,2018-10-05
39012,244057437,The Narrative Distinction Medal,2002-08-29
65099,242201869,BAFTA Award,2016-12-18
66810,211633099,The Platinum Scene Award,2008-03-31
55991,270390230,New Media Film Festival Award,1998-07-13
37202,324261612,The Platinum Scene Award,1997-12-10
41447,374112080,Critics’ Choice Award,2020-02-24
17902,214741972,BAFTA Award,2019-07-04
46467,360587247,Golden Frame Award,2022-02-23
72562,390166975,Golden Globe Award,1998-03-28
96282,328339007,Critics’ Choice Award,2011-01-31
40293,228504044,The Narrative Distinction Medal,2021-03-16
38728,349448371,Hollywood Film Award,2021-05-05
63569,244762233,MTV Movie & TV Award,2022-11-08
97429,380922554,Cannes Palme d’Or,2023-03-14
35358,201366171,Independent Spirit Award,2001-09-01
84026,227612253,MTV Movie & TV Award,2005-06-04
32951,237576499,Emmy Award,2014-01-12
75279,207009136,Independent Spirit Award,2011-03-23
22748,237576499,Golden Globe Award,2016-09-30
95001,397076272,New Media Film Festival Award,1997-07-07
41376,349448371,Golden Frame Award,2006-12-05
37193,240780076,Creative Impact Award,2007-05-24
43967,340779713,MTV Movie & TV Award,2022-03-22
85200,288768970,Emmy Award,2012-02-20
35398,203925847,MTV Movie & TV Award,2018-04-20
43318,329457273,MTV Movie & TV Award,2008-10-26
28603,309000606,Golden Frame Award,2009-03-10
92711,290377501,MTV Movie & TV Award,2010-04-09
77459,280992924,The Narrative Distinction Medal,1999-04-16
62551,232268576,Golden Frame Award,2020-02-20
53316,374605836,The Narrative Distinction Medal,2002-08-27
39437,358116700,Hollywood Film Award,2012-07-18
19438,397043368,Creative Impact Award,2020-07-04
50549,327763932,The Narrative Distinction Medal,2012-03-13
92895,201831635,MTV Movie & TV Award,1997-10-16
72147,353030263,MTV Movie & TV Award,2017-07-10
90966,348904436,The Platinum Scene Award,1999-07-03
69753,233665026,The Narrative Distinction Medal,1997-04-16
83456,266444021,Sundance Grand Jury Prize,2011-10-23
60082,261632064,New Media Film Festival Award,2021-05-05
27556,303476198,Golden Frame Award,2024-05-09
45988,247868304,BAFTA Award,1998-09-26
20535,361553907,Sundance Grand Jury Prize,2005-04-10
94779,284316004,Cannes Palme d’Or,2015-09-21
54288,262001583,Emmy Award,2008-09-17
41725,230391603,Cannes Palme d’Or,2024-10-31
97392,305647224,The Platinum Scene Award,2010-02-14
95865,244366853,Hollywood Film Award,2002-01-01
96200,361825540,Critics’ Choice Award,2020-07-06
93138,277566045,Creative Impact Award,2011-06-14
83081,345868881,Creative Impact Award,2002-12-30
25123,275593117,Cannes Palme d’Or,2024-08-13
25928,273750781,The Platinum Scene Award,2024-03-09
55518,392103539,Golden Globe Award,2003-01-30
79303,316668564,Cannes Palme d’Or,1999-10-24
63342,367960439,Cannes Palme d’Or,2016-04-18
65470,249012540,BAFTA Award,2024-11-28
26348,366300564,The Narrative Distinction Medal,2009-01-23
49208,378775088,Creative Impact Award,2008-11-02
82864,361825540,Critics’ Choice Award,2006-04-30
91596,270482058,Cannes Palme d’Or,2018-11-22
57499,386769973,New Media Film Festival Award,2007-03-12
53498,232268576,Cannes Palme d’Or,2023-08-03
66813,228698728,MTV Movie & TV Award,1999-04-04
23985,303066132,Golden Globe Award,2005-07-03
36397,202277242,Emmy Award,2019-12-28
32100,339720033,Golden Globe Award,2011-10-16
57075,332379006,Hollywood Film Award,2001-09-06
28833,228504044,Cannes Palme d’Or,1997-12-03
79790,202292146,New Media Film Festival Award,2016-11-08
62863,256352508,Hollywood Film Award,1999-09-09
26644,369108245,Cannes Palme d’Or,2010-04-22
97434,262518129,Critics’ Choice Award,2001-02-05
83407,230235731,Critics’ Choice Award,2018-05-22
57802,266991791,The Narrative Distinction Medal,2016-12-19
75545,353336360,Critics’ Choice Award,2024-03-29
50547,378575388,Cannes Palme d’Or,1998-10-08
15760,249570001,Golden Frame Award,2024-05-18
