ProductionID,FeedbackID,AwardID,Title,ProductionType,ReleaseDate,Genre,ProductionRating,ContractID
38,537,474,Moonraker,359,1993-04-14,Action|Adventure|Sci-Fi|Thriller,9.4,348
39,273,137,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La)",170,2002-07-11,Comedy|Drama,5.3,547
40,264,232,Kisses,224,1999-01-25,Drama,8.0,697
41,347,438,Home Movie,205,1997-10-30,Documentary,8.9,657
42,613,695,First Person Plural,199,2007-02-15,Documentary,5.6,712
43,583,108,Gold,364,1997-05-14,Western,2.4,160
44,579,508,Warning from Space (Uchûjin Tôkyô ni arawaru),232,2012-11-22,Sci-Fi,3.5,426
45,781,456,"Way, The",445,2023-06-18,Drama,5.8,680
46,123,737,Dance with a Stranger,390,1991-05-23,Crime|Drama|Thriller,8.5,318
47,717,8,Two Ninas,129,2007-02-07,Comedy|Romance,6.2,232
48,266,481,Please Don't Eat the Daisies,198,2003-10-15,Children|Comedy|Musical,5.7,571
49,544,257,Strawberry and Chocolate (Fresa y chocolate),239,2008-11-23,Drama,6.3,79
50,605,303,"Football Factory, The",193,2019-04-17,Action|Drama,3.7,677
51,692,458,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",484,1995-02-03,Drama,2.7,513
52,278,339,With Fire and Sword (Ogniem i mieczem),611,2003-02-27,Adventure|Crime|Drama|Romance|War,3.3,73
53,779,731,"Girasoli, I (Sunflower)",482,2018-09-10,Drama,4.7,103
54,252,244,"Color of Pomegranates, The (Sayat Nova)",17,2015-12-12,Drama,1.5,656
55,634,94,Shadowzone,764,2010-10-28,Horror|Sci-Fi,1.2,116
56,530,406,Forbidden City Cop (Dai lap mat tam 008),32,2003-07-16,Action|Comedy,2.5,491
57,474,708,King Leopold's Ghost,165,2017-09-23,Documentary,8.3,518
58,358,382,Western Union,328,1995-04-10,Western,4.5,312
59,173,464,Stuck,537,1994-05-12,Horror|Thriller,6.7,264
60,798,631,Frankenstein Conquers the World,11,2005-08-13,Action|Drama|Sci-Fi,2.6,107
61,742,470,"Cartoonist: Jeff Smith, BONE and the Changing Face of Comics, The",323,1999-10-25,Documentary,3.7,664
62,678,525,"Prophecy, The",321,2000-02-23,Fantasy|Horror|Mystery,6.1,716
63,753,310,The Hound of the Baskervilles,77,2011-01-14,Adventure|Drama|Horror|Mystery,5.6,110
64,315,118,Paper Planes,216,1998-09-14,Children,9.5,438
65,90,329,One Good Cop,767,2022-04-28,Action|Crime|Drama,6.2,333
66,335,19,Identity Thief,122,2018-11-01,Comedy|Crime,3.4,468
67,473,78,King of Devil's Island (Kongen av Bastøy) ,505,2022-06-16,Action|Drama,1.9,102
68,87,310,"Gentle Woman, A (Une femme douce)",531,1997-10-04,Drama,1.4,69
69,646,328,Arcade,131,2023-02-03,Horror|Sci-Fi,9.4,232
70,58,365,Eaten Alive (Mangiati Vivi),306,1990-05-30,Adventure|Horror,8.0,383
71,376,393,Under the Bridges (Unter den Brücken),294,2019-11-07,Comedy|Drama|Romance,6.7,385
72,250,620,"Wings of Desire (Himmel über Berlin, Der)",735,2019-05-27,Drama|Fantasy|Romance,1.4,329
73,607,381,Poseidon,116,2007-06-09,Action|Adventure|Thriller|IMAX,2.2,305
74,520,257,Dersu Uzala,336,2009-06-14,Adventure|Drama,4.0,50
75,579,240,House of Bamboo,286,2011-09-06,Crime|Film-Noir,8.8,509
76,92,686,Noah's Ark,540,2017-06-26,Adventure|Drama|Romance,6.4,278
77,461,254,Baby Take a Bow,210,2019-05-22,Children|Comedy|Drama,8.8,179
78,560,508,The Lunchbox,6,2005-07-12,Drama|Romance,5.4,57
79,22,293,"Therese Raquin (a.k.a. Adultress, The)",315,1995-11-25,Crime|Drama|Romance,1.3,171
80,297,511,Nixon by Nixon: In His Own Words,125,1994-12-17,Documentary,4.0,592
81,128,189,Cuckoo in a Dark Forest (Kukacka v temném lese) ,335,1993-07-04,Drama|War,8.6,718
82,520,344,"Last Lions, The",541,2011-08-05,Documentary,9.8,723
83,424,370,"Battle of Shaker Heights, The",34,2023-04-07,Comedy|Drama|Romance,8.3,375
84,21,129,Heart Like a Wheel,45,2015-03-02,Drama,7.5,589
85,206,173,"Passion of Ayn Rand, The",724,2012-01-21,Documentary|Drama|Romance,5.1,288
86,199,381,Oyster Farmer,54,2005-01-16,Drama,5.6,639
87,526,583,Heat,759,2002-02-22,Comedy|Drama|Romance,3.0,372
88,249,118,Glen or Glenda,598,2013-11-20,Drama,6.6,92
89,631,167,Treasure Island,216,2000-12-22,Adventure,5.4,681
90,791,217,My Flesh My Blood (Moja krew),154,2006-02-11,Drama,5.8,662
91,635,599,Tell Them Willie Boy is Here,277,2019-01-28,Drama|Western,9.3,212
92,530,521,Mercenary for Justice,468,1998-12-29,Action,7.1,474
93,640,544,God Grew Tired of Us,177,2023-05-26,Documentary|Drama,5.8,558
94,689,469,Friends with Kids,428,2019-07-08,Comedy,6.7,703
95,343,227,Ama lur (Tierra Madre),326,2012-12-29,Documentary,7.0,312
96,395,237,My Favorite Season,625,2004-11-01,Drama,8.0,274
97,64,255,French Fried Vacation 2 (Les bronzés font du ski),153,2021-12-20,Comedy,6.8,15
98,351,94,City by the Sea,392,2000-01-13,Crime|Drama,6.9,280
99,602,56,Lawrence of Arabia,456,2021-06-04,Adventure|Drama|War,6.1,113
100,497,783,Charlie Chan on Broadway,101,1996-02-09,Comedy|Crime|Mystery|Thriller,1.6,273
101,99,612,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa),503,2010-01-19,Animation|Drama|Sci-Fi|War,5.3,67
102,473,321,Tony Arzenta (No Way Out) (Big Guns),296,2024-02-19,Action|Crime|Drama|Thriller,7.5,458
103,579,212,Sekirei,324,2020-07-24,(no genres listed),5.1,41
104,109,435,"Task, The",688,2020-09-08,Horror,1.9,493
105,168,540,"Informant!, The",175,2008-02-25,Comedy|Crime|Drama|Thriller,4.1,388
106,78,720,Broken Lullaby (a.k.a. The Man I Killed),732,2017-07-24,Drama,4.8,205
107,299,293,Holy Man,645,2003-09-17,Comedy,4.7,411
108,196,358,Meshes of the Afternoon,36,1999-03-27,Fantasy,1.4,136
109,388,568,"Mummy's Hand, The",181,1996-04-22,Horror,2.5,676
110,154,463,A-Haunting We Will Go,413,2021-10-12,Comedy,5.4,710
111,370,646,Kiss Me Goodbye,1,2000-02-14,Comedy,8.2,599
112,535,70,Still of the Night,462,2025-01-08,Mystery|Thriller,3.2,244
113,390,349,Crisis: Behind a Presidential Commitment,675,2010-11-19,Documentary,3.2,258
114,24,473,Pride of the Marines,287,1999-11-21,Drama|War,1.1,353
115,768,375,Viva Riva!,737,1991-09-18,Drama,1.1,361
116,6,234,"City Dark, The",42,1999-04-09,Documentary,8.0,177
117,342,747,Double Suicide (Shinjû: Ten no amijima),354,1993-01-13,Drama|Romance,8.0,117
118,301,684,Tremors 4: The Legend Begins,647,1991-09-29,Action|Comedy|Horror|Sci-Fi|Thriller|Western,1.8,307
119,105,16,Tales from the Gimli Hospital,793,1994-07-04,Fantasy|Horror,2.7,720
120,228,567,"Iceman, The",723,2002-12-12,Crime|Drama|Thriller,8.7,750
121,198,107,Butley,458,2009-09-05,Drama,7.3,339
122,555,712,The Mummy's Shroud,670,2020-06-09,Horror,7.8,105
123,85,370,"Wankers, The (Les branleuses)",258,2007-11-20,Documentary,6.6,541
124,615,600,For Greater Glory: The True Story of Cristiada,241,2000-11-21,Drama|War,9.8,110
125,633,628,Eye of the Needle,581,2023-07-12,Thriller,5.8,522
126,207,376,Operación Cannabis,554,2019-03-24,Action|Adventure|Comedy|Crime,7.6,359
127,604,28,Night on the Galactic Railroad (Ginga-tetsudo no yoru),730,2009-04-23,Animation|Drama,2.6,705
128,314,311,Heartbreak Hospital,205,1998-08-18,Comedy|Thriller,8.0,121
129,794,428,Ayn Rand: A Sense of Life,453,2022-02-09,Documentary,7.9,289
130,588,581,Bodyguards and Assassins,41,2012-11-29,Action|Drama,6.4,548
131,776,773,Cargo,386,2000-09-04,Drama|Thriller,6.8,204
132,402,127,The Wind in the Willows,542,2009-01-20,Adventure|Animation|Children|Comedy,6.3,90
133,231,83,Andrew Dice Clay: Indestructible,117,2008-11-10,Comedy,6.3,277
134,149,537,Central Station (Central do Brasil),499,2000-11-26,Drama,7.7,705
135,430,211,Juno,346,2005-02-27,Comedy|Drama|Romance,8.5,794
136,153,551,Sin City: A Dame to Kill For,144,2014-07-31,Action|Crime|Thriller,5.4,357
137,711,588,"Royal Scandal, The",253,1999-10-03,Crime|Mystery,4.9,44
138,543,799,The Biggest Bundle of Them All,445,2003-01-16,Comedy|Crime,6.8,59
139,420,348,Different from the Others (Anders als die Andern),318,2016-04-18,Drama,7.3,139
140,534,720,Jesse Stone: Stone Cold,118,2012-05-19,Crime|Drama|Mystery,8.4,230
141,394,106,Three Worlds (Trois mondes),674,1993-03-16,Drama,2.0,172
142,786,452,Southern Comfort,472,1991-03-19,Documentary,2.7,48
143,509,509,Face of Terror,200,2020-05-24,Action|Drama|Thriller,2.8,210
144,275,490,Smashing Time,121,2019-10-07,Comedy,4.2,589
145,16,703,Repeaters ,431,2022-05-27,Action|Drama,1.2,324
146,255,17,Madam Satan,307,2013-09-16,Comedy|Musical|Romance,5.1,11
147,558,593,"Elvira, Mistress of the Dark",293,2015-01-02,Comedy|Horror,5.5,396
148,471,657,After Hours,677,2001-05-25,Comedy|Thriller,5.9,222
149,112,327,Fighter in the Wind,696,2003-05-31,Action|Drama,4.7,144
150,150,336,Mary Reilly,63,2025-04-17,Drama|Horror|Thriller,9.2,115
151,350,386,"Loves of Carmen, The",526,2002-12-24,Drama,2.6,344
152,780,315,Repentance,687,2018-08-28,Drama|Horror|Thriller,4.6,204
153,494,286,Roots,111,2014-04-04,Drama|War,5.8,291
154,681,228,"Train Robbers, The",293,2007-06-06,Western,2.4,673
155,65,267,The Water Diviner,419,2020-02-24,Action|Drama|War,9.3,783
156,1,239,"Red Desert (Deserto rosso, Il)",685,2002-07-18,Drama,6.0,283
157,327,421,180° South (180 Degrees South) (180° South: Conquerors of the Useless),747,1991-12-14,Documentary|Drama,5.3,108
158,37,430,"Now, Voyager",141,2007-03-05,Drama|Romance,1.6,240
159,190,283,Being Elmo: A Puppeteer's Journey,534,2004-08-10,Documentary,5.3,257
160,509,413,Superman/Batman: Apocalypse,182,2018-12-13,Animation,4.8,550
161,753,286,Fightville,470,2015-04-21,Documentary,6.3,149
162,604,304,"Other Man, The",328,2020-07-12,Drama,4.0,779
163,102,123,Daar,357,2002-10-24,Drama|Horror|Mystery|Romance|Thriller,8.0,521
164,654,335,Island at War,117,2010-08-19,Drama|War,6.0,619
165,105,607,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,619,2007-12-12,Documentary,5.6,66
166,16,733,Brothers in Trouble,492,2007-09-23,Drama,3.6,235
167,201,107,Texas,32,1997-07-02,Drama|Romance|Western,8.7,784
168,754,361,"Object of My Affection, The",8,2020-09-15,Comedy|Romance,2.5,322
169,268,759,¡Three Amigos!,723,2008-12-15,Comedy|Western,9.4,55
170,424,52,Our Song,564,2002-06-24,Drama,8.3,378
171,290,30,Detroit Metal City (Detoroito Metaru Shiti),179,2002-03-10,Comedy|Drama|Musical,7.5,304
172,741,369,Anna Lucasta,549,2021-12-14,Drama,1.1,233
173,677,104,Rocketship X-M,145,2010-04-17,Sci-Fi,9.5,345
174,20,555,Defiance,780,1997-03-21,Action|Crime|Drama,4.7,186
175,303,117,"Hustler, The",720,2004-11-24,Drama,7.9,604
176,515,751,"Mountain, The",582,2018-07-01,Adventure|Drama,7.7,181
177,739,361,Argo,482,2010-01-22,Drama|Thriller,8.5,673
178,779,366,Vares: The Kiss of Evil (Vares - Pahan suudelma),397,1995-08-24,Action|Crime|Film-Noir,6.6,360
179,225,281,Kill Bill: Vol. 1,187,2018-07-19,Action|Crime|Thriller,6.7,137
180,12,503,Ali,729,2018-09-02,Drama,6.1,527
181,641,644,Revenge of the Green Dragons,651,1992-04-16,Action|Crime|Drama,3.8,99
182,62,371,Go Tell the Spartans,616,2003-11-08,Drama|War,3.0,601
183,389,539,Sleep Furiously,38,1998-01-12,Documentary,3.2,2
184,20,707,Police Academy 5: Assignment: Miami Beach,255,2021-08-31,Comedy|Crime,9.7,66
185,404,337,K-PAX,426,2008-10-05,Drama|Fantasy|Mystery|Sci-Fi,5.5,108
186,624,638,The Last Time I Saw Macao,336,2013-04-02,Documentary|Thriller,8.3,329
187,401,237,"Bat Whispers, The",567,2004-10-03,Crime|Drama|Mystery,4.8,683
188,595,296,Help! I'm A Fish,465,2010-03-14,Adventure|Animation|Comedy,1.7,267
189,770,135,Naughty Girl,72,2019-12-16,Comedy|Musical|Romance,4.0,248
190,154,210,"Sentimental Swordsman, The (To ching chien ko wu ching chien)",9,1995-11-09,Action|Adventure,9.7,467
191,505,605,Never Cry Wolf,372,2016-02-15,Adventure|Drama,4.9,24
192,438,621,Ryan's Daughter,50,2021-10-18,Drama|Romance,3.3,41
193,359,588,Two Evil Eyes,19,1998-12-15,Horror,5.2,239
194,489,182,Gods and Monsters,120,1991-05-07,Drama,2.5,296
195,381,766,The Young Savages,587,2014-08-03,Crime|Drama,6.1,326
196,624,492,Alien³ (a.k.a. Alien 3),529,1998-07-02,Action|Horror|Sci-Fi|Thriller,2.3,326
197,241,105,"Rains Came, The",365,1996-03-02,Adventure|Drama|Romance,5.5,515
198,261,47,Absolute Aggression,634,1996-01-31,Action|Sci-Fi|Thriller,4.7,129
199,169,601,She Wouldn't Say Yes,594,2007-02-10,Comedy|Romance,8.1,170
200,446,643,"Formula, The",79,1997-11-15,Thriller,5.1,335
201,676,129,Trilogy of Terror,769,2019-01-08,Horror|Thriller,9.9,292
202,586,226,Spend It All,232,1996-07-02,Documentary,2.8,55
203,428,302,Year of the Comet,1,2017-02-20,Action|Adventure|Comedy|Romance,4.1,709
204,684,632,Alaska: Spirit of the Wild,658,2012-08-03,Documentary|IMAX,7.8,213
205,189,782,Deadline - U.S.A.,591,1997-12-22,Crime|Drama,3.1,658
206,227,672,"Cat and the Canary, The",334,2024-05-03,Comedy|Horror|Mystery,5.4,795
207,615,644,Beware of a Holy Whore (Warnung vor einer heiligen Nutte),413,1995-07-31,Comedy|Drama,8.4,800
208,200,79,"Unsuspected, The",219,2025-02-03,Drama|Film-Noir|Thriller,3.1,137
209,541,796,Beauty Shop,750,2011-10-23,Comedy,8.6,418
210,703,438,Conviction,14,2024-08-12,Drama,3.6,655
211,608,581,Crime at the Chinese Restaurant,301,2024-07-19,Comedy|Mystery|Thriller,2.1,159
212,585,704,"Against One Another, Virtually Friends",481,1992-06-04,Comedy,6.9,770
213,106,408,"Falcon and the Snowman, The",337,2014-06-20,Drama|Thriller,2.6,550
214,486,45,Regular Guys (Echte Kerle),624,2005-10-07,Comedy|Romance,5.5,791
215,196,448,Before Flying Back to Earth (Pries parskrendant i zeme),149,2020-08-03,Documentary,8.6,663
216,694,627,Like Mike,591,2004-01-07,Children|Comedy|Fantasy,6.7,242
217,505,494,Burnt by the Sun 2 (Utomlyonnye solntsem 2),74,2017-06-01,Drama,3.8,696
218,238,60,"Jerky Boys, The",760,2003-08-23,Comedy,7.0,45
219,207,769,Hounddog,427,1997-07-19,Drama,7.8,258
220,377,95,Curse of the Puppet Master (Puppet Master 6: The Curse),432,2021-07-05,Horror|Sci-Fi|Thriller,1.5,519
221,336,774,Zarafa,602,2003-06-08,Animation,5.9,307
222,416,308,Victory Through Air Power,145,2016-07-01,Animation|Documentary|War,9.2,46
223,99,310,Don't Go Breaking My Heart (Daan gyun naam yu),173,2009-01-04,Romance,9.5,752
224,74,729,Bright Eyes,263,2012-03-03,Comedy|Drama,10.0,45
225,31,541,Greaser's Palace,497,2015-06-02,Comedy|Drama|Western,3.1,492
226,30,274,DarkBlueAlmostBlack (Azuloscurocasinegro),83,2001-11-08,Drama|Romance,1.2,186
227,61,52,Saint Joan,554,2004-01-19,Drama,6.3,329
228,235,503,In the Army Now,498,1996-05-16,Comedy|War,1.1,398
229,646,399,"Shock to the System, A",426,1995-06-23,Comedy|Crime|Thriller,8.1,581
230,694,505,Journey from the Fall,638,2006-09-19,Drama,3.4,663
231,585,403,Reprise,517,2009-01-01,Drama,1.2,504
232,203,446,"Last of the Mohicans, The",181,2000-10-29,Action|Romance|War|Western,8.0,131
233,112,535,Leprechaun: Origins,662,2019-05-16,Horror,2.0,212
234,661,489,Hit Squad,654,2015-04-26,Action|Comedy,4.7,333
235,119,772,"Pear Tree, The (Derakhte Golabi)",573,2018-08-25,Drama|Romance,4.6,381
236,554,396,Other People's Money,8,2020-07-14,Comedy|Drama|Romance,4.8,503
237,767,162,Garden Party,73,2021-10-10,Drama|Romance,2.0,294
238,507,185,Man Of The Moment,53,2020-04-11,Comedy,9.0,633
239,763,97,We Have a Pope (Habemus Papam),251,2025-02-14,Drama,6.2,78
240,127,665,Alcina,301,2013-02-22,Drama|Fantasy|Romance,1.8,666
241,715,667,Münchhausen,235,2018-10-16,Adventure|Comedy|Fantasy,7.7,335
242,684,565,Stan Helsing,354,1993-08-19,Comedy|Horror,2.4,443
243,534,674,I Love Your Work,287,2023-07-03,Drama|Mystery,3.0,691
244,776,301,El Lobo,664,2003-11-27,Thriller,9.0,488
245,695,737,Project A ('A' gai waak),37,2001-08-26,Action|Comedy,7.8,206
246,564,422,Filming 'Othello',116,2005-06-18,Documentary,1.9,542
247,386,705,Edison Force (a.k.a. Edison),789,2019-06-26,Crime|Drama|Thriller,6.4,483
248,446,621,Outsider,317,1992-07-12,Drama,8.0,229
249,677,721,Megacities,192,1997-03-29,Documentary,5.8,135
250,510,7,Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike),489,1996-10-10,Animation,6.8,381
251,99,368,Repo! The Genetic Opera,605,2017-04-09,Fantasy|Horror|Musical,5.0,425
252,720,153,Maidens in Uniform (Mädchen in Uniform),727,2008-09-25,Drama|Romance,9.5,774
253,484,84,Bringing Down the House,18,2008-09-08,Comedy,5.5,530
254,456,624,Yuki & Nina,236,1992-11-14,Drama,6.6,621
255,792,519,Soul Man,53,2005-06-19,Comedy,8.3,670
256,338,765,Take the High Ground!,709,2010-12-26,Comedy|Drama|War,7.2,169
257,190,663,Mondo Cane,16,2002-02-02,Documentary,1.4,466
258,473,347,Tadpole,771,1991-01-25,Comedy|Drama|Romance,6.9,80
259,589,566,Confessions of a Teenage Drama Queen,231,2007-04-13,Comedy,5.2,45
260,79,659,"Paris, France",797,1990-07-05,Comedy,2.5,387
261,456,184,"Texas Chainsaw Massacre, The",455,2006-11-27,Horror,8.7,396
262,500,690,Barnens ö,178,1997-07-15,Adventure|Children|Drama,5.1,233
263,587,441,"Marsh, The",517,1990-04-19,Horror|Thriller,3.6,317
264,253,109,Six Pack,266,2017-12-06,Comedy|Drama,1.9,399
265,671,556,Annabel Takes a Tour (Annabel Takes a Trip),96,2018-06-01,Comedy,7.1,242
266,219,488,John Wick,110,2013-09-15,Action|Thriller,8.1,688
267,778,621,If a Tree Falls: A Story of the Earth Liberation Front,300,1993-06-18,Documentary,4.0,422
268,2,648,The Snow Woman,3,2004-04-30,Fantasy|Horror,10.0,403
269,577,215,Shanghaied,790,2006-02-10,Comedy,7.7,754
270,609,330,Noriko's Dinner Table (Noriko no shokutaku),204,2019-09-24,Drama|Horror,4.6,466
271,132,473,Werner - Beinhart!,186,2014-01-24,Action|Animation|Comedy,6.0,315
272,361,57,Wyrmwood,524,1995-07-26,Action|Horror|Sci-Fi,8.8,458
273,478,601,First Kid,49,1997-01-18,Children|Comedy,8.3,465
274,715,193,Virgin Stripped Bare by Her Bachelors (Oh! Soo-jung),299,1990-09-08,Drama,9.6,88
275,417,158,Infinity,477,2002-03-04,Drama,2.6,635
276,718,447,Miguel and William (Miguel y William),706,2008-09-07,Comedy|Romance,3.6,575
277,213,593,"Falcon and the Snowman, The",445,2007-09-17,Drama|Thriller,9.7,757
278,13,62,Dangerous,62,2000-08-18,Drama,1.5,787
279,207,394,Great Expectations,386,1993-05-05,Drama,1.4,747
280,664,335,Crossfire Trail (Louis L'Amour's 'Crossfire Trail'),379,2009-03-16,Action|Western,5.0,387
281,111,692,Yu-Gi-Oh!,583,2015-03-01,Animation,4.4,565
282,663,36,Annabelle,336,1994-11-25,Horror,3.7,750
283,496,783,Blade Runner,727,2023-01-17,Action|Sci-Fi|Thriller,8.9,638
284,396,78,Hungry Hill,447,2003-01-22,Drama,4.0,539
285,12,639,"Storm in Summer, A",8,2017-06-20,Drama,7.3,134
286,757,422,Blubberella,339,2019-12-29,Action|Comedy,4.7,306
287,24,799,Human Touch,367,1992-08-19,Drama,6.0,228
288,247,439,Shadow of the Holy Book (Pyhän kirjan varjo),6,1994-12-08,Documentary,5.8,313
289,627,769,Samoure,429,1994-02-16,Drama,9.2,437
290,667,473,My Own Man,95,1994-04-10,(no genres listed),1.8,238
291,402,741,Manslaughter (Drabet),508,1995-02-20,Drama,5.4,402
292,40,612,Hansel & Gretel,343,2014-08-24,Drama|Fantasy|Horror|Mystery|Thriller,2.6,695
293,550,599,Barefoot,715,2014-04-16,Comedy|Drama|Romance,1.1,583
294,375,354,Fullmetal Alchemist: The Sacred Star of Milos,207,2020-05-27,Action|Adventure|Animation,2.5,697
295,477,783,Visitor Q (Bizita Q),59,2016-11-21,Comedy|Drama|Horror,2.9,364
296,416,344,Ariel,313,1994-11-11,Drama,6.0,112
297,105,562,Incident at Oglala,623,2017-03-18,Documentary,5.4,311
298,673,26,Cube 2: Hypercube,501,2012-01-03,Horror|Mystery|Sci-Fi,4.9,381
299,657,540,Tomcats,311,1994-08-26,Comedy,2.1,614
300,445,275,Forklift Driver Klaus: The First Day on the Job,476,2007-07-20,Comedy|Horror,3.3,274
301,638,303,Logan's War: Bound by Honor,630,1998-06-06,Action|Drama|Thriller,8.9,317
302,587,71,Death of a Salesman,345,2022-01-21,Drama,9.1,241
303,422,503,Equilibrium,284,1995-08-08,Action|Sci-Fi|Thriller,8.2,620
304,15,168,Trancers,126,2002-05-23,Action|Sci-Fi,7.6,625
305,593,207,"Trip to Bountiful, The",239,2022-03-04,Drama,1.6,718
306,716,681,Lady and the Tramp,199,2018-10-09,Animation|Children|Comedy|Romance,7.7,547
307,484,274,Time Code,371,1995-11-16,Comedy|Drama,1.7,11
308,616,271,Talk of Angels,195,2011-04-25,Drama,8.9,474
309,164,793,The Haunting of Helena,71,1996-01-10,Horror|Thriller,4.7,729
310,33,29,Ragtime,779,2013-02-25,Drama,8.7,745
311,636,179,MacGruber,135,2021-07-16,Action|Comedy,8.3,528
312,398,748,Black Orpheus (Orfeu Negro),96,2005-02-25,Drama|Romance,9.8,134
313,399,448,Anna Christie,509,2017-09-29,Drama,8.3,230
314,277,236,"Loser Takes All, The (O hamenos ta pairnei ola)",136,1997-02-08,Action|Adventure|Drama,5.8,797
315,108,333,Run All Night,531,2011-10-31,Action|Crime|Drama|Mystery|Thriller,3.9,54
316,582,274,"Where Angels Go, Trouble Follows",346,2004-02-18,Comedy,6.0,789
317,142,790,"Ring, The",108,1998-10-08,Drama,5.1,231
318,250,468,Louis C.K.: Hilarious,673,2011-05-22,Comedy,8.1,305
319,39,29,"Human Tornado, The",512,1996-01-28,Action|Comedy,3.5,497
320,639,97,"Pig's Tale, A",80,1994-07-08,Adventure|Comedy|Drama|Romance,8.6,280
321,549,369,Lebanon,593,2007-01-25,Drama|War,9.5,552
322,339,540,Outcast of the Islands,680,2003-09-01,Adventure|Drama,6.0,156
323,330,780,Judgment in Berlin,358,1999-01-24,Crime|Drama,4.8,57
324,691,582,Celeste and Jesse Forever (Celeste & Jesse Forever),424,2000-10-25,Comedy|Drama|Romance,7.7,795
325,196,705,Somersault,124,2018-03-23,Drama,7.8,517
326,217,178,Capone,558,1993-09-13,Crime|Drama,5.5,256
327,388,344,Black Venus,323,1992-06-25,Drama,8.0,721
328,152,450,"Lost Battalion, The",20,1994-06-02,Action|Drama|War,6.0,548
329,713,183,Days and Hours (Kod amidze Idriza),58,2005-01-18,Drama,1.3,60
330,28,437,"Great Rock 'n' Roll Swindle, The",5,2021-08-24,Documentary,9.3,689
331,32,510,Grizzly Man,352,2014-06-17,Documentary,9.3,630
332,239,739,Annie,135,2016-12-05,Children|Musical,5.1,265
333,453,766,Hallelujah!,315,2021-11-06,Drama|Musical,6.4,673
334,130,279,"Plot Against Harry, The",106,1993-01-09,Comedy,1.8,440
335,383,687,Mr Hockey The Gordie Howe Story,427,2020-09-29,Drama,2.2,246
